CNPJ_FUNDO,nomeAbreviado,retorno_ytd,annualized_return,cumulative_returns,idade,annualized_sharpe,n_cotistas,classe,txa_adm_%aa,patrimonio,retorno_2020,retorno_1_mes,retorno_3_meses,retorno_1_ano,treynor_cdi_1ano,treynor_ibov_1ano,treynor_snp_1ano,retorno_3_anos,treynor_cdi_3ano,treynor_ibov_3ano,treynor_snp_3ano,retorno_5_anos,treynor_cdi_5ano,treynor_ibov_5ano,treynor_snp_5ano,retorno_10_anos,treynor_cdi_10ano,treynor_ibov_10ano,treynor_snp_10ano,fundo_exclusivo,investidorQualificado,max_one_day_return
04.237.583/0001-20,BRADESCO FIC FI RF REF DI PLATINUM,0.0105453313093959,0.0914432306796438,3.394293629279743,20.0,19.793725833001066,11249.0,Fundo de Renda Fixa,1.0,1570914411.91,0.0153741382576624,0.0029926899689465,0.006941763948487,0.0137727620948853,0.0778694508570669,-76.98832553985373,-33.899003451314265,0.100327921550811,0.1892314232413135,-4994.230851475381,-551.2007685117275,0.3006113449377643,0.4341743733108409,-9958.76676627878,-811.1677654328248,1.0899234151500463,1.82477837223972,-25355.78927005204,-4233.887093709759,False,False,0.0158216168714793
04.240.128/0001-83,BV CRÉDITO ATIVO RF CP LP FI,0.0275725736309129,0.1064195294889559,4.550107065698125,4.0,4.269270864392696,221.0,Fundo de Renda Fixa,0.5,77755465.53,0.1549479790845529,0.0052412110197459,0.0133802318159677,0.0551280220634542,0.6594489213809152,1411.527189018644,1949.5025522630567,0.2905651675130272,1.1330588986250054,-323.4507341184721,-90.07626533472624,0.5065921901297907,2.457469477154714,-607.8732117657727,-178.22196927240245,1.4970172876982608,5.882573724247062,-3237.496128121209,-896.2446295787522,False,False,0.0963580236866665
04.244.149/0001-77,BRADESCO FIC FI CAMBIAL DÓLAR SPECIAL,-0.0091190376894665,0.0677094487412509,1.429931892472104,20.0,0.4272813081266273,180.0,Fundo Cambial,1.0,74087292.57,0.2857490674179617,0.0444906571260124,-0.0531441060860662,0.0176481917470079,0.0020662106102087,-0.0531860830531267,-0.4527703513308145,0.4331782201588021,0.287183424247191,-1.7654458955205503,-5.283428071024179,0.6946490586385892,-0.7505311038784876,-2.6516715898844145,-8.24086847237736,2.5685517558117725,13.238327611224534,-10.04988449025547,-30.638679899337664,False,False,0.0666666179422685
04.288.966/0001-27,BB RF CURTO PRAZO AUTOMÁTICO SETOR PUBLICO FIC FI,0.0055209730041914,0.0600823001062488,1.6806921801422234,19.0,15.96526695013042,173419.0,Fundo de Renda Fixa,1.75,110985140331.09,0.0048901037261972,0.0019642464319136,0.0044243398970491,0.006157119708783,0.0247098302837479,-291.8869059852363,-845.9265360975127,0.0411472113130877,0.1622058807340569,-1759.6798772135105,-432.4762098691903,0.1594915884079919,0.2915272979102922,-9226.165117134417,-574.3846984687168,0.5785451577916894,1.1769981949551096,-11740.361533174932,-2324.753747146064,False,False,0.01286840504448
04.299.610/0001-99,CSHG DI PRIVATE FIC FI RF REF,0.0152913630474258,0.0971171169395881,3.802030820125984,3.0,20.45788945842896,4679.0,Fundo de Renda Fixa,0.4,3460842563.58,0.0192436350826035,0.0041156632962655,0.0097720945950281,0.0223108561708813,0.0763353908551707,62.13749062543614,-22.963898057433365,0.1201314444573298,0.2183146404298082,-264.5654862145124,-158.57272282072117,0.3445003113711249,0.475755046140584,-903.1081337135752,-471.72689423755344,1.2111288037085544,1.9891901520161588,-4014.663442443554,-2519.7562119890667,False,False,0.0159261782373216
04.305.193/0001-40,BB CAMBIAL EURO LP FIC FI,-0.0515903976285434,0.0692908573908138,1.3917635468080571,20.0,0.4332140821772215,6068.0,Fundo Cambial,1.0,111736572.87,0.3785525475378226,0.0305218550539707,-0.0757264081691087,-0.0147946842350995,0.0011254565488366,0.1029534337679117,-0.0768660400183583,0.3086634982357872,1.2336717670785382,-1.5482912175589896,-123.1591017188333,0.6730191472422329,1.8428524800461223,-3.1776617958680267,33.23635828996519,1.844878680214016,3.271448254925439,-10.085681396981132,56.72993639534512,False,False,0.0883631863801754
04.311.271/0001-19,FATOR PORTFOLIO VERDE FIC FIM,0.0309419166559001,0.1564222952702015,10.248843550829166,17.0,1.896411410220432,140.0,Fundo Multimercado,0.05,52108495.01,0.0336625510763979,-0.0061422746935796,-0.00439104668178,0.0883186790216348,-0.0309669328003744,0.3743740641223266,0.7163273561400895,0.2595751114697884,0.1305614504655038,0.8688124273958626,1.1298332261856143,0.4878403693566966,0.6584820359683692,1.930269297288672,2.627413671444727,2.321904258129224,3.792012046416853,16.606257204404976,18.019940881404835,False,False,0.0510603993907354
04.348.384/0001-99,ITAÚ AÇÕES SELEÇÃO MULTIFUNDOS FIC FI,0.0483939560128929,0.1355420752665857,4.851126943135344,3.0,0.590751908685634,3325.0,FIC FI,2.25,164783883.87,-0.0365677978171319,-0.0165608512120959,0.0403693315718889,0.173819493532505,-0.0229255269289092,0.196280399900741,0.5070172076894831,0.5320825817566943,0.1182342741640169,0.5525978123695863,0.932502456445918,0.9907285232355296,1.8795319403732216,1.0478236414825446,2.0196040162415243,1.4792443133712605,1.65648848444748,1.7303606966962446,3.676648210026799,False,False,0.1293512482454064
04.350.787/0001-72,VALUATION IB FIC FIA,0.034074598084459,0.1234430495793292,3.4573294064868287,4.0,0.4939450586040131,232.0,FIC FI,4.0,13596080.17,0.0148883600814637,0.0089199755897197,0.0718516483044637,0.1546702010210148,-0.032168444560448,0.1808172209334578,0.4929819224035487,0.6453705141775619,0.1374446713291037,0.7132846173753858,1.2558147035447662,1.367341726570635,1.6978356966019028,1.536946562923181,3.0845941926538023,1.5243587226112152,4.280091086786207,1.9101881085405907,4.096513563831555,False,False,0.1376546062417758
04.385.278/0001-85,SANTANDER RF INFLAÇÃO VIP FIC FI,-0.0024179417358924,0.1160579167586265,5.28692527888437,3.0,1.5200019165138767,13397.0,Fundo de Renda Fixa,0.5,984166805.07,0.0563937310783921,0.0128236901563432,0.0194016052692622,0.0465424638075171,0.1711865146575139,0.3337425212978228,1.4986928626819824,0.4096494478366488,0.1209073201167766,2.058607918874407,4.392826369249065,0.7149451504482525,0.8305776183918316,3.6365084757518176,9.051717068894714,2.068457089667964,3.027975879979105,13.590244795336616,38.30320185465161,False,False,0.1142934140311662
